bash hooks/tests/qc-panel-honesty.test.sh | exit=0 | PASS [qc-panel-honesty] 1 assertions | sha256=58e57a7daf43c659
bash hooks/tests/implementation-campaign-receipt.test.sh | exit=0 | PASS [implementation-campaign-receipt] 23 assertions | sha256=443352574a1a2650
bash hooks/tests/autopilot-engine.test.sh | exit=0 | PASS [autopilot-engine] 559 assertions | sha256=52870ae48cbd2df3
bash hooks/tests/implementation-campaign-routing.test.sh | exit=0 | PASS [implementation-campaign-routing] 106 assertions | sha256=0a519b2bf7160c53
bash hooks/tests/implementation-campaign-state.test.sh | exit=0 | PASS [implementation-campaign-state] 296 assertions | sha256=9da14ff5bdc0b41b
bash hooks/tests/implementation-campaign-dogfood.test.sh | exit=0 | PASS [implementation-campaign-dogfood] 21 assertions | sha256=9dd43058fc209852
bash hooks/tests/review-runner.test.sh | exit=0 | PASS [review-runner] 57 assertions | sha256=8e4cc2ef164560e9
bash hooks/tests/status-task.test.sh | exit=0 | PASS [status-task] 5 assertions | sha256=534ec759a2dde78e
node scripts/check-js-syntax.js | exit=0 |  | sha256=9cb5b9f65980c849
bash scripts/sync-codex-plugin-skills.sh --check | exit=0 |  | sha256=a061d5b31d473443
node scripts/check-backlog-entries.js --backlog docs/BACKLOG.md | exit=0 |  | sha256=acc8d8170c69ffec
